rank,SASRec,BERT4Rec,"gSASRec (256 negatives, t=1.0)"
2032,0.000544360838830471,9.601726560504176e-07,9.228785984305432e-07
2033,0.0005441370303742588,9.58450755206286e-07,9.194104677590076e-07
2034,0.000542157853487879,9.553608606438502e-07,9.162696983366914e-07
2035,0.0005420633242465556,9.52706841417239e-07,9.15515954602597e-07
2036,0.0005412364844232798,9.513757959211944e-07,9.148387221102894e-07
2037,0.0005332758883014321,9.43643669870653e-07,9.133819389717246e-07
2038,0.0005324888625182211,9.428367206965049e-07,9.119754622588516e-07
2039,0.0005318540497682989,9.405072205481702e-07,9.117876516029355e-07
2040,0.0005314850714057684,9.366850690639694e-07,9.115823331740103e-07
2041,0.0005308046820573509,9.359154091725941e-07,9.081851999326318e-07
2042,0.0005286028026603162,9.328713304057601e-07,9.062472372534103e-07
2043,0.00051831582095474,9.322327514382778e-07,9.035804851009743e-07
2044,0.000512921717017889,9.308593575951818e-07,9.028122462950705e-07
2045,0.0005060502444393933,9.273832120015868e-07,8.998937914839189e-07
2046,0.0005039531388320029,9.240629310625081e-07,8.944846854319621e-07
2047,0.000503390736412257,9.188605645249481e-07,8.921452945287456e-07
2048,0.0005019160453230143,9.18450609788124e-07,8.893105132301571e-07
2049,0.0005009829765185714,9.059808121492097e-07,8.889510922927002e-07
2050,0.0005005052080377936,9.041535236065101e-07,8.841773819767695e-07
2051,0.0005001198733225465,8.972003229246184e-07,8.836808547130204e-07
2052,0.0004995533963665366,8.933036497182911e-07,8.771235684434942e-07
2053,0.0004959336365573108,8.920998766370758e-07,8.761621188568824e-07
2054,0.0004957846831530333,8.906003472475277e-07,8.76006708949717e-07
2055,0.000494307023473084,8.856117688083032e-07,8.74937143180432e-07
2056,0.0004938330384902656,8.834901450427424e-07,8.728885632081074e-07
2057,0.0004928656853735447,8.803941682344885e-07,8.727445788281329e-07
2058,0.0004925554967485368,8.799526085567777e-07,8.719924835531856e-07
2059,0.0004873913712799549,8.790895549282141e-07,8.713740839993989e-07
2060,0.00048640280147083104,8.772378237154044e-07,8.668758368912677e-07
2061,0.00048236738075502217,8.767527219788462e-07,8.654797625240462e-07
2062,0.0004819101304747164,8.751438258514099e-07,8.587519459979376e-07
2063,0.0004806017968803644,8.717918262846069e-07,8.584457305005344e-07
2064,0.0004804412601515651,8.704177503204846e-07,8.529194701623055e-07
2065,0.00047739650472067297,8.696403028807254e-07,8.473803632114141e-07
2066,0.0004773027612827718,8.657032140035881e-07,8.455713214061689e-07
2067,0.00047529785661026835,8.606365327068488e-07,8.422113069173065e-07
2068,0.00047525163972750306,8.602180514571955e-07,8.3346600376899e-07
2069,0.000465032848296687,8.598686349614582e-07,8.327819500664191e-07
2070,0.0004624823050107807,8.573319405513757e-07,8.310404382427805e-07
2071,0.00046157813630998135,8.559593993595627e-07,8.303836693812627e-07
2072,0.0004607083974406123,8.502781270181003e-07,8.286432944260014e-07
2073,0.0004594324273057282,8.470350962852535e-07,8.231488664023345e-07
2074,0.0004592371406033635,8.439483849542739e-07,8.224794214584108e-07
2075,0.0004577736835926771,8.38379662582156e-07,8.218420362027246e-07
2076,0.0004575915227178484,8.378713118872838e-07,8.204449386539636e-07
2077,0.00045753156882710755,8.363816164091986e-07,8.181087309822033e-07
2078,0.0004566832212731242,8.363649044440535e-07,8.17829516108759e-07
2079,0.00044793696724809706,8.36081710531289e-07,8.174981189768005e-07
2080,0.00044767395593225956,8.355460181519447e-07,8.158461923812865e-07
2081,0.0004430811677593738,8.336438099831867e-07,8.137606073432835e-07
2082,0.0004418929747771472,8.328348712893785e-07,8.072738637565635e-07
2083,0.0004413568240124732,8.303462095682335e-07,8.066220402724866e-07
2084,0.0004402365884743631,8.271775868706754e-07,8.058139542299614e-07
